variable,label,has_value_labels,used_by_project
qa11t.11,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: FOOD SECURITY & AGRICULTURE (SUM),True,False
qa11t.12,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: EDUCATION AND RESEARCH (SUM),True,False
qa11t.13,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: DEMOGRAPHY/MIGRATION/POP AGEING (SUM),True,False
qa11t.14,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: CULTURE (SUM),True,False
qa11t.15,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: OTHER (SPONT) (SUM),True,False
qa11t.16,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: NONE (SPONT) (SUM),True,False
qa11t.17,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: DK (SPONT) (QA11A ONLY),True,False
qa12,EUROPEAN ELECTIONS - DATE KNOWLEDGE,True,False
qa12r,EUROPEAN ELECTIONS - DATE CORRECT (REC),True,False
qa13,NEXT EP ELECTION - HOW INTERESTED,True,False
qa14a,EP ELECT CAMPAIGN PRIORITIES - FIRSTLY,True,False
qa14b.1,EP ELECT CAMPAIGN PRIORITIES 2ND: PUBLIC HEALTH,True,False
qa14b.2,EP ELECT CAMPAIGN PRIORITIES 2ND: ACTION AGAINST CLIMATE CHANGE,True,False
qa14b.3,EP ELECT CAMPAIGN PRIORITIES 2ND: FIGHT POVERTY & EXCLUSION,True,False
qa14b.4,EP ELECT CAMPAIGN PRIORITIES 2ND: SUPPORT ECONOMY/CREATE NEW JOBS,True,False
qa14b.5,EP ELECT CAMPAIGN PRIORITIES 2ND: FUTURE OF EUROPE,True,False
qa14b.6,EP ELECT CAMPAIGN PRIORITIES 2ND: DIGITALISATION OF ECONOMY & SOCIETY,True,False
qa14b.7,EP ELECT CAMPAIGN PRIORITIES 2ND: HUMANITARIAN AID/DEVELOPMENT ASSISTANCE,True,False
qa14b.8,EP ELECT CAMPAIGN PRIORITIES 2ND: INDUSTRY/ENERGY AUTONOMY,True,False
qa14b.9,EP ELECT CAMPAIGN PRIORITIES 2ND: CONSUMER RIGHTS,True,False
qa14b.10,EP ELECT CAMPAIGN PRIORITIES 2ND: MIGRATION & ASYLUM,True,False
qa14b.11,EP ELECT CAMPAIGN PRIORITIES 2ND: FIGHT AGAINST TERRORISM & ORG CRIME,True,False
qa14b.12,EP ELECT CAMPAIGN PRIORITIES 2ND: DEMOCRACY & RULE OF LAW,True,False
qa14b.13,EP ELECT CAMPAIGN PRIORITIES 2ND: DEFENCE & SECURITY,True,False
qa14b.14,EP ELECT CAMPAIGN PRIORITIES 2ND: AGRICULTURAL POLICY,True,False
qa14b.15,EP ELECT CAMPAIGN PRIORITIES 2ND: GENDER EQUALITY/INCLUSION/DIVERSITY,True,False
qa14b.16,EP ELECT CAMPAIGN PRIORITIES 2ND: OTHER (SPONT),True,False
qa14b.17,EP ELECT CAMPAIGN PRIORITIES 2ND: NONE (SPONT),True,False
qa14b.18,EP ELECT CAMPAIGN PRIORITIES 2ND: DK (SPONT),True,False
qa14t.1,EP ELECT CAMPAIGN PRIORITIES: PUBLIC HEALTH (SUM),True,False
qa14t.2,EP ELECT CAMPAIGN PRIORITIES: ACTION AGAINST CLIMATE CHANGE(SUM),True,False
qa14t.3,EP ELECT CAMPAIGN PRIORITIES: FIGHT POVERTY & EXCLUSION (SUM),True,False
qa14t.4,EP ELECT CAMPAIGN PRIORITIES: SUPPORT ECONOMY/CREATE NEW JOBS (SUM),True,False
qa14t.5,EP ELECT CAMPAIGN PRIORITIES: FUTURE OF EUROPE (SUM),True,False
qa14t.6,EP ELECT CAMPAIGN PRIORITIES: DIGITALISATION OF ECONOMY & SOCIETY (SUM),True,False
qa14t.7,EP ELECT CAMPAIGN PRIORITIES: HUMANITARIAN AID/DEVELOPMENT ASSISTANCE (SUM),True,False
qa14t.8,EP ELECT CAMPAIGN PRIORITIES: INDUSTRY/ENERGY AUTONOMY (SUM),True,False
qa14t.9,EP ELECT CAMPAIGN PRIORITIES: CONSUMER RIGHTS (SUM),True,False
qa14t.10,EP ELECT CAMPAIGN PRIORITIES: MIGRATION & ASYLUM (SUM),True,False
qa14t.11,EP ELECT CAMPAIGN PRIORITIES: FIGHT AGAINST TERRORISM & ORG CRIME (SUM),True,False
qa14t.12,EP ELECT CAMPAIGN PRIORITIES: DEMOCRACY & RULE OF LAW (SUM),True,False
qa14t.13,EP ELECT CAMPAIGN PRIORITIES: DEFENCE & SECURITY (SUM),True,False
qa14t.14,EP ELECT CAMPAIGN PRIORITIES: AGRICULTURAL POLICY (SUM),True,False
qa14t.15,EP ELECT CAMPAIGN PRIORITIES: GENDER EQUALITY/INCLUSION/DIVERSITY (SUM),True,False
qa14t.16,EP ELECT CAMPAIGN PRIORITIES: OTHER (SPONT) (SUM),True,False
qa14t.17,EP ELECT CAMPAIGN PRIORITIES: NONE (SPONT) (SUM),True,False
qa14t.18,EP ELECT CAMPAIGN PRIORITIES: DK (SPONT) (QA14A ONLY),True,False
qa15a,EP VALUES PRIORITY NEXT 5YRS - FIRSTLY,True,False
qa15b.1,EP VALUES PRIORITY NEXT 5YRS 2ND: GENDER EQUALITY,True,False
qa15b.2,EP VALUES PRIORITY NEXT 5YRS 2ND: FIGHT AG DISCRIMINATION/MINORITIES PROTECTION,True,False
qa15b.3,EP VALUES PRIORITY NEXT 5YRS 2ND: DIVERSITY IN SOCIETY,True,False
qa15b.4,EP VALUES PRIORITY NEXT 5YRS 2ND: EU SOLIDARITY,True,False
qa15b.5,EP VALUES PRIORITY NEXT 5YRS 2ND: SOLIDARITY WITH POOR COUNTRIES,True,False
qa15b.6,EP VALUES PRIORITY NEXT 5YRS 2ND: HUMANS RIGHTS PROTECTION,True,False
qa15b.7,EP VALUES PRIORITY NEXT 5YRS 2ND: FREEDOM OF RELIGION/BELIEF,True,False
qa15b.8,EP VALUES PRIORITY NEXT 5YRS 2ND: FREEDOM OF MOVEMENT,True,False
qa15b.9,EP VALUES PRIORITY NEXT 5YRS 2ND: FREEDOM OF SPEECH,True,False
qa15b.10,EP VALUES PRIORITY NEXT 5YRS 2ND: HUMAN DIGNITY/DEATH PENALTY ABOLITION,True,False
qa15b.11,EP VALUES PRIORITY NEXT 5YRS 2ND: DEMOCRACY,True,False
qa15b.12,EP VALUES PRIORITY NEXT 5YRS 2ND: RULE OF LAW,True,False
qa15b.13,EP VALUES PRIORITY NEXT 5YRS 2ND: RESPECT NATIONAL IDENTITIES/CULTURES,True,False
qa15b.14,EP VALUES PRIORITY NEXT 5YRS 2ND: ASYLUM RIGHT FROM PROSECUTION,True,False
qa15b.15,EP VALUES PRIORITY NEXT 5YRS 2ND: PEACE,True,False
qa15b.16,EP VALUES PRIORITY NEXT 5YRS 2ND: OTHER (SPONT),True,False
qa15b.17,EP VALUES PRIORITY NEXT 5YRS 2ND: NONE (SPONT),True,False
qa15b.18,EP VALUES PRIORITY NEXT 5YRS 2ND: DK (SPONT),True,False
qa15t.1,EP VALUES PRIORITY NEXT 5YRS: GENDER EQUALITY (SUM),True,False
qa15t.2,EP VALUES PRIORITY NEXT 5YRS: FIGHT AG DISCRIMINATION/MINORITIES PROTECTION (SUM),True,False
qa15t.3,EP VALUES PRIORITY NEXT 5YRS: DIVERSITY IN SOCIETY (SUM),True,False
qa15t.4,EP VALUES PRIORITY NEXT 5YRS: EU SOLIDARITY (SUM),True,False
qa15t.5,EP VALUES PRIORITY NEXT 5YRS: SOLIDARITY WITH POOR COUNTRIES (SUM),True,False
qa15t.6,EP VALUES PRIORITY NEXT 5YRS: HUMANS RIGHTS PROTECTION (SUM),True,False
qa15t.7,EP VALUES PRIORITY NEXT 5YRS: FREEDOM OF RELIGION/BELIEF (SUM),True,False
qa15t.8,EP VALUES PRIORITY NEXT 5YRS: FREEDOM OF MOVEMENT (SUM),True,False
qa15t.9,EP VALUES PRIORITY NEXT 5YRS: FREEDOM OF SPEECH (SUM),True,False
qa15t.10,EP VALUES PRIORITY NEXT 5YRS: HUMAN DIGNITY/DEATH PENALTY ABOLITION (SUM),True,False
qa15t.11,EP VALUES PRIORITY NEXT 5YRS: DEMOCRACY (SUM),True,False
qa15t.12,EP VALUES PRIORITY NEXT 5YRS: RULE OF LAW (SUM),True,False
qa15t.13,EP VALUES PRIORITY NEXT 5YRS: RESPECT NATIONAL IDENTITIES/CULTURES (SUM),True,False
qa15t.14,EP VALUES PRIORITY NEXT 5YRS: ASYLUM RIGHT FROM PROSECUTION (SUM),True,False
qa15t.15,EP VALUES PRIORITY NEXT 5YRS: PEACE (SUM),True,False
qa15t.16,EP VALUES PRIORITY NEXT 5YRS: OTHER (SPONT) (SUM),True,False
qa15t.17,EP VALUES PRIORITY NEXT 5YRS: NONE (SPONT) (SUM),True,False
qa15t.18,EP VALUES PRIORITY NEXT 5YRS: DK (SPONT) (QA15A ONLY),True,False
qa16a,VOTE IN EUROPEAN ELECTIONS - HOW IMPORTANT,True,False
qa16b,VOTE IN NATIONAL ELECTIONS - HOW IMPORTANT,True,False
qa17,PERSONAL VOTING BEHAVIOUR,True,False
qa18,MAIN REASON FOR ABSTENTION IN PAST FIVE YEARS,True,False
qa19.1,REASON FOR ABSTENTION: SICK/HEALTH PROBLEM,True,False
qa19.2,REASON FOR ABSTENTION: HOLIDAY/AWAY FROM HOME,True,False
qa19.3,REASON FOR ABSTENTION: BUSY/WORK,True,False
qa19.4,REASON FOR ABSTENTION: TAKES TOO MUCH TIME/HAD NO TIME,True,False
qa19.5,REASON FOR ABSTENTION: FAMILY/LEISURE ACTIVITY,True,False
qa19.6,REASON FOR ABSTENTION: DID NOT KNOW ABOUT,True,False
qa19.7,REASON FOR ABSTENTION: UNEXPECTED PROBLEM,True,False
qa19.8,REASON FOR ABSTENTION: NOT AUTONOMOUS & NOBODY COULD HELP,True,False
qa19.9,REASON FOR ABSTENTION: FORGOT TO VOTE,True,False
qa19.10,REASON FOR ABSTENTION: REGISTRATION PROBLEMS,True,False
qa19.11,REASON FOR ABSTENTION: OTHER (SPONT),True,False
qa19.12,REASON FOR ABSTENTION: NONE/ALWAYS VOTED (SPONT),True,False
qa19.13,REASON FOR ABSTENTION: DK (SPONT),True,False
qa19t1,REASON FOR ABSTENTION - PRACTICAL/PERSONAL REASONS (SUM),True,False
qa19t2,REASON FOR ABSTENTION - LACK OF INFORMATION (SUM),True,False
qa20,IF NEXT EP ELECTION NEXT WEEK - HOW LIKELY TO VOTE,True,False
qa21_1,UPCOMING ELECTION STATEMENTS - VOTING IMPORTANT TO KEEP DEMOCRACY STRONG,True,False
qa21_2,UPCOMING ELECTION STATEMENTS - VOTING IMPORTANT TO ENSURE BETTER FUTURE NEXT GENS,True,False
qa21_3,UPCOMING ELECTION STATEMENTS - IF NO VOTE OTHERS WILL DECIDE,True,False
qa21_4,UPCOMING ELECTION STATEMENTS - CURRENT INT CONTEXT MAKES VOTING EVEN MORE IMPORTANT,True,False
sd26,STANDARD OF LIVING LAST 5YRS IN LIGHT OF CRISES,True,False
sd21_1,PERSONAL LIVING CONDITIONS IN ONE YEARS TIME,True,False
sd21_2,NATIONAL ECONOMY IN ONE YEARS TIME,True,False
sd27,STANDARD OF LIVING NEXT 5YRS,True,False
qb1,IMPORTANCE OF SOCIAL EUROPE PERSONALLY,True,False
qb2a,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT - FIRSTLY,True,False
qb2b.1,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: EQUAL OPPORTUNITIES & ACCESS LABOUR MARKET,True,False
qb2b.2,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: FAIR WORKING CONDITIONS,True,False
qb2b.3,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: SOCIAL PROTECTION & INCLUSION,True,False
qb2b.4,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: ACCESS TO QUALITY HEALTH CARE,True,False
qb2b.5,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: FREEDOM OF MOVEMENT OF WORKERS AND LEARNERS,True,False
qb2b.6,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: STANDARD OF LIVING OF PEOPLE IN THE EU,True,False
qb2b.7,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: QUALITY OF INFRASTRUCTURE IN THE EU,True,False
qb2b.8,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: EU CAPACITY FOR RESEARCH AND INNOVATION,True,False
qb2b.9,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: SKILLS AND TALENTS OF PEOPLE IN THE EU,True,False
qb2b.10,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: ENVIRONMENTAL RESPONSIBILITY AND CLIMATE ACTION,True,False
qb2b.11,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: RIGHTS OF MINORITIES AND PROTECTION AGAINST DISCRIMINATION,True,False
qb2b.12,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: OTHER (SPONT),True,False
qb2b.13,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: NONE (SPONT),True,False
qb2b.14,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT 2ND: DK (SPONT),True,False
qb2t.1,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: EQUAL OPPORTUNITIES & ACCESS LABOUR MARKET (SUM),True,False
qb2t.2,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: FAIR WORKING CONDITIONS (SUM),True,False
qb2t.3,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: SOCIAL PROTECTION & INCLUSION (SUM),True,False
qb2t.4,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: ACCESS TO QUALITY HEALTH CARE (SUM),True,False
qb2t.5,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: FREEDOM OF MOVEMENT OF WORKERS AND LEARNERS (SUM),True,False
qb2t.6,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: STANDARD OF LIVING OF PEOPLE IN THE EU (SUM),True,False
qb2t.7,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: QUALITY OF INFRASTRUCTURE IN THE EU (SUM),True,False
qb2t.8,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: EU CAPACITY FOR RESEARCH AND INNOVATION (SUM),True,False
qb2t.9,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: SKILLS AND TALENTS OF PEOPLE IN THE EU (SUM),True,False
qb2t.10,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: ENVIRONMENTAL RESPONSIBILITY AND CLIMATE ACTION (SUM),True,False
qb2t.11,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: RIGHTS OF MINORITIES AND PROTECTION AGAINST DISCRIMINATION (SUM),True,False
qb2t.12,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: OTHER (SPONT) (SUM),True,False
qb2t.13,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: NONE (SPONT) (SUM),True,False
qb2t.14,IMPORTANT FOR EU ECON & SOCIAL DEVELOPMENT: DK (SPONT) (QB2A ONLY),True,False
qb3,EUROPEAN PILLAR OF SOCIAL RIGHTS - HEARD ABOUT,True,False
qb3a_1,EUROPEAN PILLAR OF SOCIAL RIGHTS STATEMENTS - WILL STRENGTHEN EMPLOYMENT & INCLUSION,True,False
qb3a_2,EUROPEAN PILLAR OF SOCIAL RIGHTS STATEMENTS - SUCCESS DEPENDS ON IMPLEMENTATION IN (COUNTRY),True,False
qb4.1,COUNTRY PRIORITY: LACK LIFELONG LEARNING OPPORTUNITIES,True,False
qb4.2,COUNTRY PRIORITY: UNEQUAL PAY BETW MEN & WOMEN,True,False
qb4.3,COUNTRY PRIORITY: LACK OF SUPPORT TO FIND JOB,True,False
qb4.4,COUNTRY PRIORITY: LOW WAGES,True,False
qb4.5,COUNTRY PRIORITY: HIGH COST OF LIVING,True,False
qb4.6,COUNTRY PRIORITY: LONG WORKING HOURS,True,False
qb4.7,COUNTRY PRIORITY: INADEQUATE HEALTH & SAFETY AT WORK,True,False
qb4.8,COUNTRY PRIORITY: LACK OF CHILDCARE & SUPPORT FOR CHILDREN,True,False
qb4.9,COUNTRY PRIORITY: INADEQUATE SOCIAL BENEFITS,True,False
qb4.10,COUNTRY PRIORITY: INADEQUATE OLD AGE INCOME & PENSIONS,True,False
qb4.11,COUNTRY PRIORITY: INADEQUATE HEALTH CARE,True,False
qb4.12,COUNTRY PRIORITY: INADEQUATE INCLUSION OF PERSONS WITH DISABILITIES,True,False
qb4.13,COUNTRY PRIORITY: LACK OF SOCIAL HOUSING & HOMELESSNESS,True,False
qb4.14,COUNTRY PRIORITY: OTHER (SPONT),True,False
qb4.15,COUNTRY PRIORITY: NONE (SPONT),True,False
qb4.16,COUNTRY PRIORITY: DK (SPONT,True,False
qb5.1,EU ACTION FOR FUTURE OF EUROPE: EDUCATION/TRAINING/LIFELONG LEARNING,True,False
qb5.2,EU ACTION FOR FUTURE OF EUROPE: GENDER EQUALITY,True,False
qb5.3,EU ACTION FOR FUTURE OF EUROPE: EQUAL OPPORTUNITIES,True,False
qb5.4,EU ACTION FOR FUTURE OF EUROPE: ACTIVE SUPPORT TO EMPLOYMENT,True,False
qb5.5,EU ACTION FOR FUTURE OF EUROPE: WAGES,True,False
qb5.6,EU ACTION FOR FUTURE OF EUROPE: SOCIAL DIALOGUE AND INVOLVEMENT OF WORKERS,True,False
qb5.7,EU ACTION FOR FUTURE OF EUROPE: WORK-LIFE BALANCE,True,False
qb5.8,EU ACTION FOR FUTURE OF EUROPE: HEALTH AND SAFETY AT WORK,True,False
qb5.9,EU ACTION FOR FUTURE OF EUROPE: CHILDCARE & SUPPORT FOR CHILDREN,True,False
qb5.10,EU ACTION FOR FUTURE OF EUROPE: SOCIAL PROTECTION,True,False
qb5.11,EU ACTION FOR FUTURE OF EUROPE: MINIMUM INCOME,True,False
qb5.12,EU ACTION FOR FUTURE OF EUROPE: OLD AGE INCOME AND PENSIONS,True,False
qb5.13,EU ACTION FOR FUTURE OF EUROPE: HEALTH CARE,True,False
qb5.14,EU ACTION FOR FUTURE OF EUROPE: INCLUSION OF PERSONS WITH DISABILITIES,True,False
qb5.15,EU ACTION FOR FUTURE OF EUROPE: HOUSING AND ASSISTANCE FOR THE HOMELESS,True,False
qb5.16,EU ACTION FOR FUTURE OF EUROPE: OTHER (SPONT),True,False
qb5.17,EU ACTION FOR FUTURE OF EUROPE: NONE (SPONT),True,False
qb5.18,EU ACTION FOR FUTURE OF EUROPE: DK (SPONT),True,False
qb6_1,KEY EU INITIATIVES AWARENESS - SKILLS AGENDA,True,False
qb6_2,KEY EU INITIATIVES AWARENESS - MINIMUM WAGE DIRECTIVE,True,False
qb6_3,KEY EU INITIATIVES AWARENESS - CHILD GUARANTEE,True,False
qb6_4,KEY EU INITIATIVES AWARENESS - PLATFORM WORK DIRECTIVE,True,False
qb6_5,KEY EU INITIATIVES AWARENESS - EUROPEAN SOCIAL FUND PLUS,True,False
qb6_6,KEY EU INITIATIVES AWARENESS - WORK LIFE BALANCE DIRECTIVE,True,False
qb6r_1,KEY EU INITIATIVES AWARENESS - NO AWARENESS (REC),True,False
qb6r_2,KEY EU INITIATIVES AWARENESS - LOW AWARENESS (REC),True,False
qb6r_3,KEY EU INITIATIVES AWARENESS - MEDIUM AWARENESS (REC),True,False
qb6r_4,KEY EU INITIATIVES AWARENESS - HIGH AWARENESS (REC),True,False
qb7_1,EUROPEAN YEAR OF SKILLS STATEMENTS - LOOKING FOR INFO HOW TO IMPROVE SKILLS,True,False
qb7_2,EUROPEAN YEAR OF SKILLS STATEMENTS - ENGAGING IN TRAINING TO IMPROVE SKILLS,True,False
qb8,EU SHLD PROMOTE BETTER WORKING CONDITIONS WITH NON-EU COUNTRIES,True,False
qb9.1,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: NOT MOVED IN PAST 5YRS,True,False
qb9.2,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: INSUFFICIENT AWARENESS EU RULES & RIGHTS,True,False
qb9.3,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: CUMBERSOME PROVE SOC SECURITY ENTITLEMENTS,True,False
qb9.4,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: REFUSAL EMPL SERVICES EXP UNEMPL BENEFITS,True,False
